coreid,identifier,catalogNumber,accessURI
2d732816-7da5-47d1-aa28-c8387029f7d9,8fe92121-0a7a-43bc-8085-05b340e41550,55519,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055519.jpg
92b7b837-ada6-4c2a-ba59-e3fa998ee19b,63dca94b-7ffe-4586-886e-b0b039ef5d42,55520,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055520.jpg
a7aa418c-8173-4324-8d5b-3d493789d0c3,035ff593-a06f-4734-bb75-0baa647460b6,55521,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055521.jpg
fb1a6d12-13d2-48e2-bc6a-fa2ba4b776d5,f7ffd7f9-6aef-4b0b-9b93-ce14a40dd186,55522,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055522.jpg
604297fa-10ec-4330-bd6f-a9fe1cd93b44,cc594058-a419-4dcc-8367-f99c425b5901,55523,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055523.jpg
86f0b78a-51de-4be8-8f51-0c277e96dac3,654627ac-3296-4d7b-8dbf-35a6373c92c4,55524,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055524.jpg
137427be-2776-4969-9db6-652ac71376d8,549c250d-a3ad-4fa8-ad5c-8c545fc9fc71,55525,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055525.jpg
758f0019-0d54-448a-b13b-4baffc847519,8a5398c7-7090-4616-b2da-bef1c8b4079f,55526,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055526.jpg
82457568-78ba-41a9-8119-8c7156979417,32a46fed-de9c-4fad-87c0-ea630d42efa8,55527,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055527.jpg
45c2edc4-1e35-44e9-a08c-ac28495b1b56,a5db30f0-4f3f-4f1f-b270-dd9d19907764,55531,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055531.jpg
16689284-6988-4191-bb34-8785d2d7e553,ea857ce7-9fd1-4023-9b1d-548b677a93e8,55532,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055532.jpg
215f989e-4056-46cc-88f3-53ed29ef521f,07f21432-593f-45bd-9be4-fd84b989fec0,55533,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055533.jpg
428feb78-6a80-483d-a768-f3b349f4e3ad,31fbb959-4429-4fd6-95df-c3d105a12572,55534,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055534.jpg
8fb61ee8-4e80-45dd-8ca2-9d32a5a019cd,8bd36c9e-7ec7-4f06-bda1-32f1e93db426,55535,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055535.jpg
51803fbe-55af-4409-88b1-e1c353a99933,8c625fb1-32db-4620-abc9-51218165dd9d,55536,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055536.jpg
841f7089-3025-42a5-b2fc-68f57ba369f7,17b16d38-bf12-488f-9149-a184f1dc5457,55537,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055537.jpg
1da38927-21c2-4ed0-9de7-a2b574c4aafd,ed821511-0357-4cb8-ab40-03fe927d8aaf,55538,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055538.jpg
05e5a147-cb3e-46c5-95cd-97e5e49c58ad,9f2cdaed-bead-436c-8333-4f28318f1d2c,55539,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055539.jpg
b8d22aac-c88d-4357-b019-18107c83f1d8,a8b6b1d4-7149-48d0-8e31-8c310a4e2ceb,55540,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055540.jpg
7d02d804-b827-43ee-b666-6cb272df982b,6a71df7d-95e9-4174-8652-ad7030bda360,55541,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055541.jpg
0027e574-976d-4308-a22f-bab3df8c2094,e85a0536-0d46-4331-ae90-cd32a0709fdb,55542,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055542.jpg
ba4ede9e-83b6-47b5-8fa7-ebaabc5451b6,0681586a-09b9-459f-b7a1-46a6e80e90f1,55543,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055543.jpg
cde7fddf-bbf1-428f-8ccd-3fbee253ad5f,cd8bb0af-6278-4cc4-b36b-a4749f9e5449,55544,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055544.jpg
74c570df-cdfc-4dd7-b5fc-babdf3cbd5cd,4e428b7c-e0ec-49bd-8c35-c9bab1947ddf,55545,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055545.jpg
55d347df-16d7-49e1-86ce-28fed7476574,4bdb6474-146f-4195-916f-b25f5ce59deb,55548,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055548.jpg
349af561-f78e-40b6-b331-500c4d361d27,7b6e1509-c0b2-483f-8e20-af6a386744c6,55549,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055549.jpg
58838293-deca-4906-addb-6b5c7accaa62,4b091a25-1514-450e-979f-93ebb6a5fcee,55550,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055550.jpg
c77129df-7e1d-4924-b9cd-56e5011b3e49,daca1b7a-b49a-4224-9221-8f42a78af9e2,55551,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055551.jpg
a2b0e7e6-6e05-40a1-885a-922518d25397,7429472c-dfe1-4fb6-bfa0-9bf6fd0d03be,55552,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055552.jpg
d489d367-afcc-42bc-ac8c-995b89aafb4c,f4f48beb-de34-4c67-9fdb-ac2791565604,55553,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055553.jpg
2fe35e3b-0d29-4f9a-8e8a-1ede0e8a1478,af452789-33be-4775-a9fd-1028fb27745e,55554,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055554.jpg
