coreid,identifier,accessURI
6670095,e3d65af7-4941-4c3e-8291-b22743beb7c7,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089667.jpg
6670094,d64ff06b-9737-4071-9da5-557ea51c7483,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089668.jpg
6670093,62694025-a820-478a-a2d6-359add72c667,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089669.jpg
6687445,9a5d965d-6c00-480d-9d1f-25f726c17fa2,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090275.jpg
6687441,871e1c86-3aba-4fd1-bfef-a272c59c76e7,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090276.jpg
6687440,0112ceae-538c-4b34-b638-f127511a2d6b,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090277.jpg
6687439,e5752029-8518-493e-aa5f-6a3121693ad8,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090278.jpg
6687438,7264ddcb-d24a-4e80-a598-e87e3c65a49f,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090279.jpg
6670092,a8c69412-6d8d-4675-8ed8-91358f332da0,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089670.jpg
6687437,108f8d08-0937-4687-a72c-1fc66b7370e1,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090280.jpg
6687436,8b4e148a-82d3-4a20-bd39-292ecd4c4e25,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090281.jpg
6687444,8b326c33-1a23-4e9a-8d10-a253c2645c64,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090282.jpg
6687443,82ff7eee-bd22-4f19-9712-93f27d8e9aa7,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090283.jpg
6687442,56269414-9066-4d12-8da7-fbac47d6b364,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090284.jpg
6795306,99c07d56-cc00-4386-bf45-b6a5199eb196,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090904.jpg
6795304,117a71db-f6c0-41fc-9bdf-da590e041e4d,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090905.jpg
6795313,6976f468-7166-46a6-8b65-1248314789bc,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090906.jpg
6795314,f03bf67e-5da0-4516-9b53-d86ebd43d2b9,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090907.jpg
6795315,97d1d08d-62df-4eaf-9055-79f4885bb885,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090908.jpg
6795316,f3445b60-d052-4711-80ba-7ddcffec515c,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090909.jpg
6795317,4734630e-431b-4df0-a386-7873e59306f8,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090910.jpg
6795318,e2646bad-61cc-4b59-bb96-e3d95597bc06,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090911.jpg
6795312,1f8d0b63-d868-4a8f-8a00-f400a2cf73a5,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090913.jpg
6795305,aa6ae637-a2c0-4aa6-880a-ffb68c5cde22,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090912.jpg
6795310,68da4b45-f2a7-466a-bed1-6edc31c8ba89,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090914.jpg
6795311,8dfb035a-5339-49fc-bbb0-053a65a0b1c9,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090915.jpg
6795308,d1851aab-c5c3-49af-b507-4c2b3a23cde4,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090916.jpg
6795309,6bdbfc94-ef8c-4922-9148-2ecde74a05c9,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090918.jpg
6795302,ce3fccf5-5a92-4834-8df1-862a0afd63b3,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090917.jpg
6795297,f5b73dc1-1081-464b-b302-b5216163ab8d,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090919.jpg
6795319,f61ec0d1-a98b-4d68-8d55-78d602344cb1,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090921.jpg
6795303,53483a6c-7874-4517-873b-9fc6702521f9,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090920.jpg
6670091,d8be174f-5367-4c78-9781-c645e12d7ea5,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089671.jpg
6795661,29bdfd22-b39f-40f0-87b2-b804e50dec33,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091049.jpg
6795810,153f04a3-e49a-425d-ac15-e55badb33d2c,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091083.jpg
6795665,22beaf53-1c86-41c8-bdab-8f2e570ab92d,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091047.jpg
6795811,418abe1d-8c4c-46b3-9eba-789544c9fc27,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091084.jpg
6795813,980a0cde-bd66-4560-a278-649079bdaacb,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091085.jpg
6795666,1d3b92ed-99cb-45b7-8c61-69f74ef7a913,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091048.jpg
6795816,c58b89e1-a6b1-46ea-9ac6-dd8b5c47011a,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091086.jpg
6795817,ec663739-b187-4fa0-ae8b-95b023bd944d,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091087.jpg
6795821,75eb8778-7d9a-4d79-ae1b-9a818a6dfe53,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091088.jpg
6795823,b478b7b5-8ba6-4549-aae2-c6180506a640,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091089.jpg
6795827,bb8b85db-4695-4455-beea-4c734e468172,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091090.jpg
6795835,6d06d242-bc56-4f85-af88-10e608f78883,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091092.jpg
6795830,12a2b880-0f08-407e-99db-f228bc31cd94,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091091.jpg
6795838,32a344b1-37fb-469e-ba04-2cee0220f828,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091093.jpg
6795663,d181047e-1ccf-44b8-a824-4d97e801c794,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091046.jpg
6795844,bebb4040-a8e7-4a41-b7a6-eab5d7e15de3,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091096.jpg
6795839,3d3435bf-84e7-4ac1-953f-3b12549c513a,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091094.jpg
6795840,21b4c3af-43eb-487b-ab03-7b1619073204,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091095.jpg
6795845,baea87a2-368f-4f45-a651-47adfa28b1cf,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091097.jpg
6795667,3c61d250-83d2-495e-8234-febf6d8c0beb,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091050.jpg
6795846,a2ccf3bc-6b0b-4d33-a1bf-4cedfbde7afd,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091098.jpg
6795847,69bca6c1-8633-4a57-afdd-c01fe30f1bd5,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091099.jpg
6795848,d5e0fc4e-c673-4022-9ea4-17e4cb300cd8,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091100.jpg
6795849,e98bad55-2a0d-40e1-8513-cf8d3457fefc,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091101.jpg
6795851,c0d0da26-1afb-43be-b46e-d04c1947691e,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091103.jpg
6795853,36c18197-4304-4cad-91f1-4eae889e7103,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091105.jpg
6795852,0305a84a-d1e8-402f-b3c6-b6a13d56c079,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091104.jpg
6795850,9340f8d0-2080-4d3b-9266-8786f30b4921,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091102.jpg
6795856,ab2912b9-6bc2-4627-8f27-09b47131b79a,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091106.jpg
6795858,0c8b94f5-eaff-4fab-a2a4-2dc7721a1cb5,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091108.jpg
6795857,2da16559-30d5-476f-b51f-4fb2689a32dc,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091107.jpg
6795859,54f0030f-17c1-4589-afc7-139a5982357e,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091110.jpg
6795861,29116869-9efa-4c10-86aa-33c69ee3f0ac,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091112.jpg
6795863,ebdbed52-b19f-43ee-9ddb-b9f626e39fe4,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091114.jpg
6795864,3984bbe6-f05d-4807-a73e-1e8eaf19d07d,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091115.jpg
6795862,03acbde9-e0ea-4b63-ac47-2646fc948a98,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091113.jpg
6795865,7d71fdf9-f67b-43d4-950b-cb162eef8721,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091116.jpg
6795869,0911a05b-4380-413b-b217-64b84d7590ab,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091118.jpg
6795866,f767f85b-a24f-4542-aad7-96a35c027038,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091117.jpg
6795867,5b784483-33b3-4d2a-9e01-eaa3ce313dab,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091119.jpg
6795860,8cbb9a0b-631e-46dd-b5d4-c8911959e78e,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091111.jpg
6795874,b17fc9f1-cdb4-442d-956e-502a7781b300,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091175.jpg
6795875,798fae0d-27a9-4044-8f9b-eeab5f3ef5be,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091176.jpg
6795871,8bf19ef9-88eb-4ddc-8ae2-959b251197af,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091177.jpg
6795877,6fb7e70b-c463-46d9-8ddd-16272ef5df7a,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000091178.jpg
