id,institutionCode,collectionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,footprintWKT,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
6668919,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89381,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,"Acer saccharum subsp. leucoderme","(Small) Desmarais",Acer,saccharum,subsp.,leucoderme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:bab4560e-e74d-4d59-ad03-8674fdecbc93,http://sernecportal.org/portal/collections/individual/index.php?occid=6668919,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089381.jpg
6668918,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89382,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,"Acer saccharum subsp. leucoderme","(Small) Desmarais",Acer,saccharum,subsp.,leucoderme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:2a608dcf-900a-4a81-abf5-f762ed15bba5,http://sernecportal.org/portal/collections/individual/index.php?occid=6668918,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089382.jpg
6668917,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89383,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,"Acer saccharum subsp. leucoderme","(Small) Desmarais",Acer,saccharum,subsp.,leucoderme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:4141f36c-868a-4b54-86b8-ea7afab255e8,http://sernecportal.org/portal/collections/individual/index.php?occid=6668917,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089383.jpg
6668916,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89384,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,"Acer saccharum subsp. leucoderme","(Small) Desmarais",Acer,saccharum,subsp.,leucoderme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:5cf930e5-24d9-4ef7-88a9-37dd9419b3aa,http://sernecportal.org/portal/collections/individual/index.php?occid=6668916,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089384.jpg
6668915,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89385,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,"Acer saccharum subsp. floridanum","(Chapm.) Desmarais",Acer,saccharum,subsp.,floridanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:392629bf-e257-4ede-8adf-ce0d4ff2f368,http://sernecportal.org/portal/collections/individual/index.php?occid=6668915,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089385.jpg
6668914,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89386,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,"Acer saccharum subsp. floridanum","(Chapm.) Desmarais",Acer,saccharum,subsp.,floridanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:896c232d-d7dc-4b98-9cf0-0d0b2e2d1655,http://sernecportal.org/portal/collections/individual/index.php?occid=6668914,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089386.jpg
6668913,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89387,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,"Acer saccharum subsp. floridanum","(Chapm.) Desmarais",Acer,saccharum,subsp.,floridanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:5257d9d4-6844-44db-842d-ce12029eaf1a,http://sernecportal.org/portal/collections/individual/index.php?occid=6668913,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089387.jpg
6668912,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89388,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,"Acer saccharum subsp. floridanum","(Chapm.) Desmarais",Acer,saccharum,subsp.,floridanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:d5399e1d-ea8e-408e-bf53-8c2492ee2750,http://sernecportal.org/portal/collections/individual/index.php?occid=6668912,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089388.jpg
6668911,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89389,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,"Acer saccharum subsp. floridanum","(Chapm.) Desmarais",Acer,saccharum,subsp.,floridanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:fc8226d5-d23a-4b08-8866-bf8174eca88a,http://sernecportal.org/portal/collections/individual/index.php?occid=6668911,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089389.jpg
6668910,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89390,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,"Acer saccharum subsp. floridanum","(Chapm.) Desmarais",Acer,saccharum,subsp.,floridanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:657fda30-d406-4255-ae99-f928e0ae3fd7,http://sernecportal.org/portal/collections/individual/index.php?occid=6668910,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089390.jpg
6668909,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89391,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,"Acer saccharum subsp. floridanum","(Chapm.) Desmarais",Acer,saccharum,subsp.,floridanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:48cc4300-c452-4d30-8312-f2599cd1023a,http://sernecportal.org/portal/collections/individual/index.php?occid=6668909,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089391.jpg
6668908,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89392,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,"Acer saccharum subsp. floridanum","(Chapm.) Desmarais",Acer,saccharum,subsp.,floridanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:945d4eaa-d240-4c00-9313-eaa78fbbed77,http://sernecportal.org/portal/collections/individual/index.php?occid=6668908,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089392.jpg
6668906,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89393,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,"Acer saccharum subsp. floridanum","(Chapm.) Desmarais",Acer,saccharum,subsp.,floridanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:70eb7d11-73b8-44cc-aa1f-b86d1ee17cd8,http://sernecportal.org/portal/collections/individual/index.php?occid=6668906,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089393.jpg
6668905,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89394,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,"Acer saccharum subsp. floridanum","(Chapm.) Desmarais",Acer,saccharum,subsp.,floridanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:170f348b-037a-4fa2-b67c-817326ba37fd,http://sernecportal.org/portal/collections/individual/index.php?occid=6668905,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089394.jpg
6668904,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89395,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,"Acer saccharum subsp. floridanum","(Chapm.) Desmarais",Acer,saccharum,subsp.,floridanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:aafb9ac8-8552-496a-8c6b-88a2c13a806c,http://sernecportal.org/portal/collections/individual/index.php?occid=6668904,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089395.jpg
6668907,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89396,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,"Acer saccharum subsp. floridanum","(Chapm.) Desmarais",Acer,saccharum,subsp.,floridanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:ca2398e8-ac49-4ef5-9701-f9f7d4f188f1,http://sernecportal.org/portal/collections/individual/index.php?occid=6668907,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089396.jpg
6668903,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89397,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,"Acer saccharum subsp. floridanum","(Chapm.) Desmarais",Acer,saccharum,subsp.,floridanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:085a7d0c-792e-4c32-8ef8-1fadfe9a61e6,http://sernecportal.org/portal/collections/individual/index.php?occid=6668903,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089397.jpg
6686931,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,90265,,Plantae,Magnoliophyta,,Lamiales,Plantaginaceae,"Callitriche peploides",Nutt.,Callitriche,peploides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:e2658d49-4722-4fce-9e8a-a3d892b5f420,http://sernecportal.org/portal/collections/individual/index.php?occid=6686931,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090265.jpg
6686930,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,90266,,Plantae,Magnoliophyta,,Lamiales,Plantaginaceae,"Callitriche peploides",Nutt.,Callitriche,peploides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:948905bf-5f2e-43be-a1af-af0bce923a67,http://sernecportal.org/portal/collections/individual/index.php?occid=6686930,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090266.jpg
6686929,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,90267,,Plantae,Magnoliophyta,,Lamiales,Plantaginaceae,"Callitriche peploides",Nutt.,Callitriche,peploides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:41b1ec3d-39f7-490e-82ce-dc38ad0221af,http://sernecportal.org/portal/collections/individual/index.php?occid=6686929,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090267.jpg
6686928,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,90268,,Plantae,Magnoliophyta,,Lamiales,Plantaginaceae,"Callitriche peploides",Nutt.,Callitriche,peploides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:45011ab7-2e4c-4d1f-813d-20d58c17940c,http://sernecportal.org/portal/collections/individual/index.php?occid=6686928,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090268.jpg
6686927,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,90269,,Plantae,Magnoliophyta,,Lamiales,Plantaginaceae,"Callitriche peploides",Nutt.,Callitriche,peploides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:9507b5cf-eab1-4286-a275-3db4cdfb425a,http://sernecportal.org/portal/collections/individual/index.php?occid=6686927,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090269.jpg
6686926,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,90270,,Plantae,Magnoliophyta,,Lamiales,Plantaginaceae,"Callitriche peploides",Nutt.,Callitriche,peploides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:b92071d7-3c85-46a1-b343-6e0b29fbe680,http://sernecportal.org/portal/collections/individual/index.php?occid=6686926,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090270.jpg
6686925,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,90271,,Plantae,Magnoliophyta,,Lamiales,Plantaginaceae,"Callitriche peploides",Nutt.,Callitriche,peploides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:3124d8b7-d157-4f3e-8c31-ab5e4ce77d05,http://sernecportal.org/portal/collections/individual/index.php?occid=6686925,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090271.jpg
6686924,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,90272,,Plantae,Magnoliophyta,,Lamiales,Plantaginaceae,"Callitriche peploides",Nutt.,Callitriche,peploides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:4b4f50fc-67b6-4460-a643-b65d87c7e47b,http://sernecportal.org/portal/collections/individual/index.php?occid=6686924,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000090272.jpg
