id,institutionCode,collectionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,footprintWKT,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
6686053,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94809,,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Cynoglossum officinale",L.,Cynoglossum,officinale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Missouri,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:dc164dbf-674d-4334-a849-4b20dbec381c,http://sernecportal.org/portal/collections/individual/index.php?occid=6686053,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094809.jpg
6686059,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94814,,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Cynoglossum virginianum",L.,Cynoglossum,virginianum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Minnesota,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:00b186db-3afc-452c-8ef4-b7828552551a,http://sernecportal.org/portal/collections/individual/index.php?occid=6686059,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094814.jpg
6673656,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94815,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex glabra","(L.) A. Gray",Ilex,glabra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Georgia,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:de09171b-2e9f-49a5-9a19-ce951cd23380,http://sernecportal.org/portal/collections/individual/index.php?occid=6673656,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094815.jpg
6673655,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94816,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex glabra","(L.) A. Gray",Ilex,glabra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Alabama,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:d41fa7f7-edc8-4d9a-b5b9-d8e874dee4d4,http://sernecportal.org/portal/collections/individual/index.php?occid=6673655,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094816.jpg
6673657,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94817,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex glabra","(L.) A. Gray",Ilex,glabra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Georgia,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:746ca65f-2a49-4755-bd85-ab5b016b73ce,http://sernecportal.org/portal/collections/individual/index.php?occid=6673657,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094817.jpg
6686058,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94813,,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Cynoglossum virginianum",L.,Cynoglossum,virginianum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Minnesota,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:c3e84b1f-4eb5-46b6-a357-5383a4c55ab2,http://sernecportal.org/portal/collections/individual/index.php?occid=6686058,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094813.jpg
6673658,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94818,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex glabra","(L.) A. Gray",Ilex,glabra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States","New Jersey",,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:e9cec30d-0082-4b1a-9e39-33852c806161,http://sernecportal.org/portal/collections/individual/index.php?occid=6673658,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094818.jpg
6673660,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94819,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex glabra","(L.) A. Gray",Ilex,glabra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States","North Carolina",,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:8f7877b4-d600-4284-8fea-efdc12b4ffc7,http://sernecportal.org/portal/collections/individual/index.php?occid=6673660,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094819.jpg
6673664,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94821,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex glabra","(L.) A. Gray",Ilex,glabra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Mississippi,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:d35e235b-d99b-49ee-ab8f-dab40c82d810,http://sernecportal.org/portal/collections/individual/index.php?occid=6673664,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094821.jpg
6673666,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94822,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex glabra","(L.) A. Gray",Ilex,glabra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Louisiana,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:96b81d88-2cef-4c07-b570-23fb61070474,http://sernecportal.org/portal/collections/individual/index.php?occid=6673666,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094822.jpg
6673661,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94820,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex glabra","(L.) A. Gray",Ilex,glabra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Mississippi,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:5d4cec9c-e973-45cb-b2a4-dad91fcab655,http://sernecportal.org/portal/collections/individual/index.php?occid=6673661,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094820.jpg
6673671,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94823,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex glabra","(L.) A. Gray",Ilex,glabra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Louisiana,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:40342fd1-1ebb-418d-aef0-45e538f154bf,http://sernecportal.org/portal/collections/individual/index.php?occid=6673671,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094823.jpg
6673672,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94824,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex glabra","(L.) A. Gray",Ilex,glabra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States","North Carolina",,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:221dcb55-cefa-4615-a747-c1ba45450fd6,http://sernecportal.org/portal/collections/individual/index.php?occid=6673672,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094824.jpg
6673673,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94825,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex glabra","(L.) A. Gray",Ilex,glabra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States","North Carolina",,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:8e518efd-a910-4897-92d6-cf12ef990561,http://sernecportal.org/portal/collections/individual/index.php?occid=6673673,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094825.jpg
6673674,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94826,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex glabra","(L.) A. Gray",Ilex,glabra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States","North Carolina",,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:281b0565-5747-476a-8e2b-37775e066174,http://sernecportal.org/portal/collections/individual/index.php?occid=6673674,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094826.jpg
6673675,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94827,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex glabra","(L.) A. Gray",Ilex,glabra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States","South Carolina",,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:8b173123-9dcd-4797-89a7-4b61c99c642b,http://sernecportal.org/portal/collections/individual/index.php?occid=6673675,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094827.jpg
6673677,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94828,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex glabra","(L.) A. Gray",Ilex,glabra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Massachusetts,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:9cb3842c-b87f-45f3-8b93-ba63e3bfe182,http://sernecportal.org/portal/collections/individual/index.php?occid=6673677,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094828.jpg
6673679,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94829,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex glabra","(L.) A. Gray",Ilex,glabra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Georgia,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:28eb01d2-4ed7-4d1a-bb96-b442a6b0ab39,http://sernecportal.org/portal/collections/individual/index.php?occid=6673679,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094829.jpg
6673680,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94830,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex glabra","(L.) A. Gray",Ilex,glabra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Georgia,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:2631a785-2ced-4de5-9e77-6aae6315eae7,http://sernecportal.org/portal/collections/individual/index.php?occid=6673680,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094830.jpg
6673681,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94831,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex glabra","(L.) A. Gray",Ilex,glabra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Georgia,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:6cf3ffd2-d4a8-4575-9c4d-3df5a41f9883,http://sernecportal.org/portal/collections/individual/index.php?occid=6673681,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094831.jpg
6673555,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94832,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex ambigua","(Michx.) Torr.",Ilex,ambigua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Georgia,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:36cd6c15-f275-4b51-be25-f666bc1e838e,http://sernecportal.org/portal/collections/individual/index.php?occid=6673555,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094832.jpg
6673556,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94833,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex ambigua","(Michx.) Torr.",Ilex,ambigua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Alabama,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:d4b183f7-c0e5-484b-af6f-7daf82902abe,http://sernecportal.org/portal/collections/individual/index.php?occid=6673556,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094833.jpg
6673558,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94834,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex ambigua","(Michx.) Torr.",Ilex,ambigua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Arkansas,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:b2b1f03a-7fc6-475f-9456-32ebad99502c,http://sernecportal.org/portal/collections/individual/index.php?occid=6673558,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094834.jpg
6673559,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94835,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex ambigua","(Michx.) Torr.",Ilex,ambigua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Arkansas,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:dae40323-936c-44c6-b93f-c9421dbf8f6a,http://sernecportal.org/portal/collections/individual/index.php?occid=6673559,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094835.jpg
6673560,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94836,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex ambigua","(Michx.) Torr.",Ilex,ambigua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States","North Carolina",,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:514289fb-2cb2-4377-a154-e60528cdb03b,http://sernecportal.org/portal/collections/individual/index.php?occid=6673560,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094836.jpg
6673561,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94837,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex ambigua","(Michx.) Torr.",Ilex,ambigua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States","North Carolina",,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:ec9786b5-36bd-4760-87fd-08806f01e09d,http://sernecportal.org/portal/collections/individual/index.php?occid=6673561,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094837.jpg
6673563,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94838,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex ambigua","(Michx.) Torr.",Ilex,ambigua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Mississippi,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:7243cf3a-7a39-4f8f-aece-a735b7285269,http://sernecportal.org/portal/collections/individual/index.php?occid=6673563,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094838.jpg
6673565,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94839,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex ambigua","(Michx.) Torr.",Ilex,ambigua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Georgia,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:8e67a207-fdc1-4c4f-80a3-3490e9c97490,http://sernecportal.org/portal/collections/individual/index.php?occid=6673565,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094839.jpg
6673567,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94840,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex ambigua","(Michx.) Torr.",Ilex,ambigua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Georgia,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:08488d72-b08d-464e-93aa-d23d97a4a65e,http://sernecportal.org/portal/collections/individual/index.php?occid=6673567,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094840.jpg
6673571,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94842,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex ambigua","(Michx.) Torr.",Ilex,ambigua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States","North Carolina",,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:5a48620c-b974-43f1-80f2-f2f3e162bebb,http://sernecportal.org/portal/collections/individual/index.php?occid=6673571,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094842.jpg
6673569,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94841,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex ambigua","(Michx.) Torr.",Ilex,ambigua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Georgia,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:4f14bb83-167b-45d5-be0c-08981884c595,http://sernecportal.org/portal/collections/individual/index.php?occid=6673569,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094841.jpg
6673572,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94843,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex ambigua","(Michx.) Torr.",Ilex,ambigua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Arkansas,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:23e00777-c8f3-49ed-bc0f-093c6571a03c,http://sernecportal.org/portal/collections/individual/index.php?occid=6673572,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094843.jpg
6673573,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94844,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex ambigua","(Michx.) Torr.",Ilex,ambigua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Tennessee,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:aa919de6-e5d4-443d-880b-2230075cdde9,http://sernecportal.org/portal/collections/individual/index.php?occid=6673573,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094844.jpg
6673575,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94845,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex ambigua","(Michx.) Torr.",Ilex,ambigua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Georgia,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:3145313e-1e4d-46b8-9d9c-b818ccfe3d37,http://sernecportal.org/portal/collections/individual/index.php?occid=6673575,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094845.jpg
6673582,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94846,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex cassine",L.,Ilex,cassine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States","South Carolina",,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:b1d6f044-e2dc-4237-b475-1058233ffda2,http://sernecportal.org/portal/collections/individual/index.php?occid=6673582,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094846.jpg
6673584,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94847,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex cassine",L.,Ilex,cassine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States","South Carolina",,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:80155dd2-fcf4-433d-b07f-029c0ac0a4ac,http://sernecportal.org/portal/collections/individual/index.php?occid=6673584,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094847.jpg
6673586,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94848,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex cassine",L.,Ilex,cassine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Louisiana,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:1b093257-8a18-4afa-adf1-348f7ee5cc33,http://sernecportal.org/portal/collections/individual/index.php?occid=6673586,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094848.jpg
6673588,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94849,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex cassine",L.,Ilex,cassine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Louisiana,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:95428bd6-d186-420d-afee-36c9cd001ae8,http://sernecportal.org/portal/collections/individual/index.php?occid=6673588,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094849.jpg
6673589,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94850,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex cassine",L.,Ilex,cassine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Alabama,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:dc1b786d-1df1-42f8-b02e-3ac5f95bb15b,http://sernecportal.org/portal/collections/individual/index.php?occid=6673589,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094850.jpg
6673591,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94851,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex cassine",L.,Ilex,cassine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States","South Carolina",,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:8b791467-9b03-4497-ac1c-7441a28d867a,http://sernecportal.org/portal/collections/individual/index.php?occid=6673591,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094851.jpg
6673592,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,94852,,Plantae,Magnoliophyta,,Aquifoliales,Aquifoliaceae,"Ilex cassine",L.,Ilex,cassine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States","South Carolina",,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:17049bf1-7b23-44e4-a4a3-10c1e58eed5c,http://sernecportal.org/portal/collections/individual/index.php?occid=6673592,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000094852.jpg
