subjectId,imageName,imageURL,references,scientificName,country,stateProvince,county,#institutionCode,#collectionCode,#catalogNumber,#expeditionId,#expeditionTitle
58090ecf00cf790d548b67f8,58090ecf00cf790d548b67f8.jpg,http://bisque.iplantcollaborative.org/image_service/image/00-U4VWcy9jFYGaaqwLYbyyS9?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=5525665,"Bidens aristosa","United States","North Carolina",Brunswick,BOON,,000771,59,"Plants have all the anthers! Pt1"
58090ecf00cf790d548b67fa,58090ecf00cf790d548b67fa.jpg,http://bisque.iplantcollaborative.org/image_service/image/00-kN4b2XhWi7guUBGHbmxubX?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=5525999,"Bidens frondosa","United States","North Carolina",Ashe,BOON,,000788,59,"Plants have all the anthers! Pt1"
58090ecf00cf790d548b67fc,58090ecf00cf790d548b67fc.jpg,http://bisque.iplantcollaborative.org/image_service/image/00-FGe7Kap5AcAQkoMWVCBNvB?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=5527046,"Baccharis halimifolia","United States","North Carolina",Rutherford,BOON,,000753,59,"Plants have all the anthers! Pt1"
58090ecf00cf790d548b67fe,58090ecf00cf790d548b67fe.jpg,http://bisque.iplantcollaborative.org/image_service/image/00-L9soetuVyjNRGJbcoe8MKE?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=5527022,"Baccharis sarothroides","United States",Arizona,Pima,BOON,,000755,59,"Plants have all the anthers! Pt1"
58090ecf00cf790d548b6800,58090ecf00cf790d548b6800.jpg,http://bisque.iplantcollaborative.org/image_service/image/00-Jj5mXDWxfzqjs8jhWEyMfP?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=5526667,"Bidens mitis","United States",Florida,Glades,BOON,,000793,59,"Plants have all the anthers! Pt1"
58090ecf00cf790d548b6802,58090ecf00cf790d548b6802.jpg,http://bisque.iplantcollaborative.org/image_service/image/00-HxQdcozPAVCu74DT4pPDhj?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=5527096,"Balduina uniflora","United States","North Carolina",Columbus,BOON,,000757,59,"Plants have all the anthers! Pt1"
58090ecf00cf790d548b6804,58090ecf00cf790d548b6804.jpg,http://bisque.iplantcollaborative.org/image_service/image/00-SYeGT5YaUduasNTcUYbxJL?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=5526396,"Bidens cernua","United States",Kentucky,Warren,BOON,,001052,59,"Plants have all the anthers! Pt1"
58090ecf00cf790d548b6806,58090ecf00cf790d548b6806.jpg,http://bisque.iplantcollaborative.org/image_service/image/00-YyFqqRjLW2gDQYxXikgNGZ?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=5525596,"Bidens bipinnata","United States",Tennessee,Carroll,BOON,,000777,59,"Plants have all the anthers! Pt1"
58090ecf00cf790d548b6808,58090ecf00cf790d548b6808.jpg,http://bisque.iplantcollaborative.org/image_service/image/00-M6wBbEnpbhPbfiez2dwsog?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=5526126,"Borrichia frutescens","United States","South Carolina",Colleton,BOON,,000822,59,"Plants have all the anthers! Pt1"
58090ecf00cf790d548b680a,58090ecf00cf790d548b680a.jpg,http://bisque.iplantcollaborative.org/image_service/image/00-y57hCEkuMuTuMvBfTkmyUN?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=5526627,"Bidens discoidea","United States",Tennessee,Obion,BOON,,001053,59,"Plants have all the anthers! Pt1"
58090ecf00cf790d548b680c,58090ecf00cf790d548b680c.jpg,http://bisque.iplantcollaborative.org/image_service/image/00-TsWz3cm5BmYAVMoNaFRvUW?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=5527120,"Bidens frondosa","United States","North Carolina",Rowan,BOON,,000786,59,"Plants have all the anthers! Pt1"
58090ecf00cf790d548b680e,58090ecf00cf790d548b680e.jpg,http://bisque.iplantcollaborative.org/image_service/image/00-XqCjKqyN5fUNnAM7kugnQU?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=5526938,"Boltonia caroliniana","United States","South Carolina",Clarendon,BOON,,000816,59,"Plants have all the anthers! Pt1"
58090ecf00cf790d548b6812,58090ecf00cf790d548b6812.jpg,http://bisque.iplantcollaborative.org/image_service/image/00-fLHGXzUZQTKszwisVP3rme?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=5525945,"Balduina uniflora","United States",Florida,Bay,BOON,,000756,59,"Plants have all the anthers! Pt1"
58090ecf00cf790d548b6810,58090ecf00cf790d548b6810.jpg,http://bisque.iplantcollaborative.org/image_service/image/00-dnWV68Ny7wR6RwRr9pDxu?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=5525945,"Balduina uniflora","United States",Florida,Bay,BOON,,000756,59,"Plants have all the anthers! Pt1"
58090ecf00cf790d548b6814,58090ecf00cf790d548b6814.jpg,http://bisque.iplantcollaborative.org/image_service/image/00-DG9xiU8s6qrMNTmofQeiCn?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=5527328,"Arnoglossum muehlenbergii","United States","North Carolina",Burke,BOON,,000833,59,"Plants have all the anthers! Pt1"
58090ecf00cf790d548b6816,58090ecf00cf790d548b6816.jpg,http://bisque.iplantcollaborative.org/image_service/image/00-DUVznfdKFdfJqosqUvFssL?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=5525917,"Carduus acanthoides","United States","North Carolina",Ashe,BOON,,000841,59,"Plants have all the anthers! Pt1"
58090ecf00cf790d548b6818,58090ecf00cf790d548b6818.jpg,http://bisque.iplantcollaborative.org/image_service/image/00-8b5c5omiaY3XWYDVr3MHnf?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=5526831,"Bidens alba radiata","United States",Florida,Broward,BOON,,000799,59,"Plants have all the anthers! Pt1"
58090ecf00cf790d548b681a,58090ecf00cf790d548b681a.jpg,http://bisque.iplantcollaborative.org/image_service/image/00-wuLVecuq6hhNgUunYTfH8k?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=5526946,"Bidens pilosa","United States",Florida,Broward,BOON,,000801,59,"Plants have all the anthers! Pt1"
58090ecf00cf790d548b681c,58090ecf00cf790d548b681c.jpg,http://bisque.iplantcollaborative.org/image_service/image/00-Z22yVKEuZKwfFYU8474SW8?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=5527138,"Bidens vulgata","United States","North Carolina",Watauga,BOON,,000805,59,"Plants have all the anthers! Pt1"
58090ecf00cf790d548b681e,58090ecf00cf790d548b681e.jpg,http://bisque.iplantcollaborative.org/image_service/image/00-88Gkkz4LGaSs4GDGydxR6n?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=5527297,"Bidens bipinnata","United States","North Carolina",Cherokee,BOON,,000780,59,"Plants have all the anthers! Pt1"
58090ecf00cf790d548b6820,58090ecf00cf790d548b6820.jpg,http://bisque.iplantcollaborative.org/image_service/image/00-qrZGfJLH7ZBYy72CWwxQea?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=5525700,Boltonia,"United States",Tennessee,Shelby,BOON,,001057,59,"Plants have all the anthers! Pt1"
58090ecf00cf790d548b6822,58090ecf00cf790d548b6822.jpg,http://bisque.iplantcollaborative.org/image_service/image/00-Radb7naAS3SxfeKmp6u6Tc?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=5525998,"Bidens mitis","United States",Florida,Glades,BOON,,000797,59,"Plants have all the anthers! Pt1"
58090ecf00cf790d548b6824,58090ecf00cf790d548b6824.jpg,http://bisque.iplantcollaborative.org/image_service/image/00-372kpjyPiivdhyVATG3QYZ?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=5525772,"Bidens vulgata","United States","North Carolina",Wilkes,BOON,,000790,59,"Plants have all the anthers! Pt1"
58090ecf00cf790d548b6826,58090ecf00cf790d548b6826.jpg,http://bisque.iplantcollaborative.org/image_service/image/00-A2mZSV3k58pUx9qDjcYys8?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=5525422,"Bidens discoidea","United States","North Carolina",Jones,BOON,,000782,59,"Plants have all the anthers! Pt1"
58090ecf00cf790d548b6828,58090ecf00cf790d548b6828.jpg,http://bisque.iplantcollaborative.org/image_service/image/00-reNucQbGqNP9n8ZmnFBqDT?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=5526977,"Bidens bipinnata","United States","North Carolina",Wilkes,BOON,,000774,59,"Plants have all the anthers! Pt1"
58090ecf00cf790d548b682a,58090ecf00cf790d548b682a.jpg,http://bisque.iplantcollaborative.org/image_service/image/00-CKsAMxYG3SUcxoqS7uYuiP?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=5526625,"Bidens laevis","United States","North Carolina","New Hanover",BOON,,000792,59,"Plants have all the anthers! Pt1"
