subjectId,imageName,imageURL,references,scientificName,country,stateProvince,county,#institutionCode,#collectionCode,#catalogNumber,#expeditionId,#expeditionTitle
57fbd8ce00cf79492f8b48b7,57fbd8ce00cf79492f8b48b7.jpg,http://cdn.flmnh.ufl.edu/Herbarium/jpg/023/23158s1.jpg,http://sernecportal.org/portal/collections/individual/index.php?occid=7348242,"Ambrosia artemisiifolia","United States",Florida,Alachua,FLAS,,23158,53,"Fall Flowers of Alachua County, Florida"
57fbd8ce00cf79492f8b48b9,57fbd8ce00cf79492f8b48b9.jpg,http://cdn.flmnh.ufl.edu/Herbarium/jpg/171/171982s1.jpg,http://sernecportal.org/portal/collections/individual/index.php?occid=7348246,"Ambrosia artemisiifolia","United States",Florida,Alachua,FLAS,,171982,53,"Fall Flowers of Alachua County, Florida"
57fbd8ce00cf79492f8b48bd,57fbd8ce00cf79492f8b48bd.jpg,http://cdn.flmnh.ufl.edu/Herbarium/jpg/011/11244s1.jpg,http://sernecportal.org/portal/collections/individual/index.php?occid=7348373,"Anthemis cotula","United States",Florida,Alachua,FLAS,,11244,53,"Fall Flowers of Alachua County, Florida"
57fbd8ce00cf79492f8b48bf,57fbd8ce00cf79492f8b48bf.jpg,http://cdn.flmnh.ufl.edu/Herbarium/jpg/023/23310s1.jpg,http://sernecportal.org/portal/collections/individual/index.php?occid=7348398,Arctotis,"United States",Florida,Alachua,FLAS,,23310,53,"Fall Flowers of Alachua County, Florida"
57fbd8ce00cf79492f8b48c1,57fbd8ce00cf79492f8b48c1.jpg,http://cdn.flmnh.ufl.edu/Herbarium/jpg/025/25304s1.jpg,http://sernecportal.org/portal/collections/individual/index.php?occid=7348399,Asteraceae,"United States",Florida,Alachua,FLAS,,25304,53,"Fall Flowers of Alachua County, Florida"
57fbd8ce00cf79492f8b48c3,57fbd8ce00cf79492f8b48c3.jpg,http://cdn.flmnh.ufl.edu/Herbarium/jpg/023/23335s1.jpg,http://sernecportal.org/portal/collections/individual/index.php?occid=7348420,Artemisia,"United States",Florida,Alachua,FLAS,,23335,53,"Fall Flowers of Alachua County, Florida"
57fbd8ce00cf79492f8b48a9,57fbd8ce00cf79492f8b48a9.jpg,http://cdn.flmnh.ufl.edu/Herbarium/jpg/171/171407s1.jpg,http://sernecportal.org/portal/collections/individual/index.php?occid=7348235,"Ambrosia artemisiifolia","United States",Florida,Alachua,FLAS,,171407,53,"Fall Flowers of Alachua County, Florida"
57fbd8ce00cf79492f8b48ab,57fbd8ce00cf79492f8b48ab.jpg,http://cdn.flmnh.ufl.edu/Herbarium/jpg/148/148747s1.jpg,http://sernecportal.org/portal/collections/individual/index.php?occid=7348236,"Ambrosia artemisiifolia","United States",Florida,Alachua,FLAS,,148747,53,"Fall Flowers of Alachua County, Florida"
57fbd8ce00cf79492f8b48ad,57fbd8ce00cf79492f8b48ad.jpg,http://cdn.flmnh.ufl.edu/Herbarium/jpg/129/129077s1.jpg,http://sernecportal.org/portal/collections/individual/index.php?occid=7348237,"Ambrosia artemisiifolia","United States",Florida,Alachua,FLAS,,129077,53,"Fall Flowers of Alachua County, Florida"
57fbd8ce00cf79492f8b48af,57fbd8ce00cf79492f8b48af.jpg,http://cdn.flmnh.ufl.edu/Herbarium/jpg/164/164080s1.jpg,http://sernecportal.org/portal/collections/individual/index.php?occid=7348238,"Ambrosia artemisiifolia","United States",Florida,Alachua,FLAS,,164080,53,"Fall Flowers of Alachua County, Florida"
57fbd8ce00cf79492f8b48b1,57fbd8ce00cf79492f8b48b1.jpg,http://cdn.flmnh.ufl.edu/Herbarium/jpg/164/164081s1.jpg,http://sernecportal.org/portal/collections/individual/index.php?occid=7348239,"Ambrosia artemisiifolia","United States",Florida,Alachua,FLAS,,164081,53,"Fall Flowers of Alachua County, Florida"
57fbd8ce00cf79492f8b48b3,57fbd8ce00cf79492f8b48b3.jpg,http://cdn.flmnh.ufl.edu/Herbarium/jpg/023/23161s1.jpg,http://sernecportal.org/portal/collections/individual/index.php?occid=7348240,"Ambrosia artemisiifolia","United States",Florida,Alachua,FLAS,,23161,53,"Fall Flowers of Alachua County, Florida"
57fbd8ce00cf79492f8b48b5,57fbd8ce00cf79492f8b48b5.jpg,http://cdn.flmnh.ufl.edu/Herbarium/jpg/023/23160s1.jpg,http://sernecportal.org/portal/collections/individual/index.php?occid=7348241,"Ambrosia artemisiifolia","United States",Florida,Alachua,FLAS,,23160,53,"Fall Flowers of Alachua County, Florida"
57fbd8ce00cf79492f8b48c5,57fbd8ce00cf79492f8b48c5.jpg,http://cdn.flmnh.ufl.edu/Herbarium/jpg/175/175021s1.jpg,http://sernecportal.org/portal/collections/individual/index.php?occid=7348451,"Symphyotrichum carolinianum","United States",Florida,Alachua,FLAS,,175021,53,"Fall Flowers of Alachua County, Florida"
57fbd8ce00cf79492f8b48c7,57fbd8ce00cf79492f8b48c7.jpg,http://cdn.flmnh.ufl.edu/Herbarium/jpg/164/164082s1.jpg,http://sernecportal.org/portal/collections/individual/index.php?occid=7348452,"Symphyotrichum carolinianum","United States",Florida,Alachua,FLAS,,164082,53,"Fall Flowers of Alachua County, Florida"
57fbd8ce00cf79492f8b48cd,57fbd8ce00cf79492f8b48cd.jpg,http://cdn.flmnh.ufl.edu/Herbarium/jpg/122/122513s1.jpg,http://sernecportal.org/portal/collections/individual/index.php?occid=7348496,"Symphyotrichum concolor","United States",Florida,Alachua,FLAS,,122513,53,"Fall Flowers of Alachua County, Florida"
57fbd8ce00cf79492f8b48cf,57fbd8ce00cf79492f8b48cf.jpg,http://cdn.flmnh.ufl.edu/Herbarium/jpg/031/31280s1.jpg,http://sernecportal.org/portal/collections/individual/index.php?occid=7348497,"Symphyotrichum concolor","United States",Florida,Alachua,FLAS,,31280,53,"Fall Flowers of Alachua County, Florida"
57fbd8ce00cf79492f8b48d3,57fbd8ce00cf79492f8b48d3.jpg,http://cdn.flmnh.ufl.edu/Herbarium/jpg/151/151900s1.jpg,http://sernecportal.org/portal/collections/individual/index.php?occid=7348603,"Symphyotrichum dumosum","United States",Florida,Alachua,FLAS,,151900,53,"Fall Flowers of Alachua County, Florida"
57fbd8ce00cf79492f8b48d7,57fbd8ce00cf79492f8b48d7.jpg,http://cdn.flmnh.ufl.edu/Herbarium/jpg/042/42654s1.jpg,http://sernecportal.org/portal/collections/individual/index.php?occid=7348663,"Symphyotrichum dumosum","United States",Florida,Alachua,FLAS,,42654,53,"Fall Flowers of Alachua County, Florida"
